epoch	accuracy	loss
0	0.20492939282936382	0.8963014989824063
1	0.20699360982901266	0.8927338203106839
2	0.20771205324644326	0.8892849093400692
3	0.20892581098336424	0.8865253292180898
4	0.21101251953329106	0.883057105319389
5	0.2122999781308254	0.8816625041617489
6	0.21642639807189823	0.8769661446463707
7	0.21689400764823275	0.8738620492948916
8	0.22054225506490288	0.8701595706282855
9	0.22092355977009784	0.8659170369845329
10	0.22211426135788895	0.8655543907545183
11	0.22459112786462404	0.8635911479357298
12	0.22518808792023667	0.8627011167800616
13	0.2285246212608695	0.8617474672044262
14	0.23165966176997804	0.8573616679214416
15	0.2361506753588946	0.8549918250479005
16	0.2362582952691961	0.8544084964208225
17	0.2404023389686964	0.8531701847381978
18	0.24128382667266324	0.8482952665405457
19	0.2431089812407196	0.843546601600277
20	0.24419772260974135	0.8407086078246412
21	0.24759281260929328	0.8375914718108974
22	0.2478493391135276	0.8366698272497749
23	0.25158914057265436	0.8329096856863784
24	0.2520834933992727	0.8304238993709665
25	0.2535220429369237	0.8291342090887069
26	0.2549292981465284	0.8277137673264594
27	0.25829002933616946	0.8273018791086677
28	0.26213494666302684	0.8254100144279097
29	0.2663691482023808	0.8214899319678232
30	0.26647623049816077	0.8213848500597045
31	0.26678951731641587	0.8199348734276171
32	0.2692569899830977	0.8166078618122218
33	0.26954250095232446	0.8163291410446577
34	0.2734295597410932	0.8135315616273647
35	0.27445403621542835	0.8117227797899493
36	0.27874026164733534	0.8080683906897339
37	0.2789565648568978	0.8069689604999322
38	0.28029473177225367	0.8037374222483513
39	0.28433191612883774	0.8020419237909946
40	0.2857549577600234	0.7999307433820144
41	0.289990572397435	0.7952729124603432
42	0.2905926327405087	0.7939317283411994
43	0.29486339931578454	0.7931264224029988
44	0.29804534817728784	0.7920507813088772
45	0.3015067238542952	0.7919836196605324
46	0.30495904039472077	0.7898211536767447
47	0.3060909756135638	0.7888604873564707
48	0.30768958781962885	0.788244851117989
49	0.3118244196747538	0.7834001954489086
50	0.31252956378495966	0.7797734619194929
51	0.31361421781775833	0.7774760711213596
52	0.31450580328002253	0.7771501004371812
53	0.318842069964213	0.775714258971703
54	0.3219311539012144	0.7731098169445944
55	0.3245243000381002	0.7698224852092476
56	0.32897202994501856	0.7674290546327103
57	0.33389736147527427	0.7669910602998692
58	0.3349014090542188	0.7662744551477731
59	0.3358717849768373	0.7621664969204787
60	0.33844035902668773	0.7575738477490185
61	0.3417454220871829	0.7546485252877119
62	0.3420226769337277	0.7508105092811751
63	0.3423462922963347	0.7478233627531554
64	0.3426069310611686	0.7440949339571963
65	0.34289567482602173	0.7409003417723939
66	0.345942444008392	0.7361353173740698
67	0.35014296100865083	0.7356257692145751
68	0.3524139570663783	0.7310365876205285
69	0.3558841835986782	0.7264031732376426
70	0.35909811306607053	0.7223832635191649
71	0.36098967679065536	0.7180814965916031
72	0.3631520586613855	0.7145464199660759
73	0.3640051394001433	0.7135062727422729
74	0.36656523698388077	0.7117804749172013
75	0.3677813409395106	0.7089315521505418
76	0.3711627357255558	0.7063349674445707
77	0.37439752975849816	0.7028862619127186
78	0.37877831276011803	0.7023031634359308
79	0.3818423651782577	0.6996852157097763
80	0.3838913192394916	0.6961800019485253
81	0.3883225939606895	0.691704442972191
82	0.3927958262703969	0.6877916700880866
83	0.3953264657336094	0.6871973566553831
84	0.4002346103873475	0.6858131214448633
85	0.40313421838605107	0.6853437607638319
86	0.4074050139976635	0.6851930990694046
87	0.41164549664510225	0.6808719598351932
88	0.4126343595784349	0.6781728704983716
89	0.4129201190113413	0.6759223395312729
90	0.4132206776551735	0.6731609619528974
91	0.41371422168778804	0.669706625004187
92	0.417565505033601	0.6660057070830808
93	0.4214852010207746	0.6649617040820295
94	0.4228435444545295	0.6641997799201135
95	0.42442841403729387	0.6593204282863818
96	0.4282871912273486	0.658721380383205
97	0.431439014845998	0.6574342656480135
98	0.43254054534622693	0.6570512839400271
99	0.43524307961086434	0.6524732379903859
